SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster
99366.0,1,2,2,2,2,1
99376.0,0,2,1,2,0,6
99396.0,1,2,2,0,4,2
99401.0,1,1,0,1,5,4
99416.0,0,0,3,4,1,3
99427.0,1,2,2,2,2,1
99438.0,1,2,2,0,4,2
99442.0,1,1,0,1,5,5
99443.0,1,2,2,2,2,1
99444.0,0,2,1,2,0,6
99446.0,1,1,0,1,5,4
99448.0,0,0,3,4,1,3
99449.0,0,0,1,3,3,0
99456.0,0,0,1,3,3,0
99463.0,1,1,0,1,4,2
99466.0,1,2,2,2,2,1
99484.0,1,2,2,2,2,1
99488.0,0,0,3,4,1,3
99494.0,1,1,2,0,4,5
99531.0,1,2,2,0,4,2
99541.0,0,0,1,3,3,0
99563.0,0,0,1,3,3,0
99573.0,0,0,3,4,1,3
99584.0,0,0,1,3,3,0
99593.0,0,0,3,4,1,3
99599.0,1,1,2,0,4,5
99613.0,0,0,3,4,1,3
99631.0,0,0,3,4,1,3
99655.0,0,0,3,4,1,3
99659.0,1,1,0,1,5,5
99665.0,1,2,2,2,2,5
99676.0,1,1,0,1,5,5
99686.0,0,2,1,2,0,6
99710.0,1,1,0,1,5,4
99711.0,0,2,1,2,0,6
99720.0,0,2,1,2,0,6
99724.0,0,0,3,3,3,0
99744.0,1,1,0,1,5,4
99745.0,0,0,1,3,3,0
99759.0,0,2,1,2,2,1
99763.0,1,1,0,0,4,2
99765.0,1,1,2,0,4,2
99766.0,0,2,1,2,0,6
99782.0,1,1,2,0,4,2
99783.0,0,0,1,3,3,0
99790.0,0,0,3,4,1,3
99807.0,0,0,3,4,1,3
99811.0,1,2,2,2,2,1
99819.0,0,0,3,4,1,3
99839.0,0,0,3,3,1,3
99842.0,0,2,1,2,2,1
99857.0,0,2,1,3,0,6
99883.0,0,0,1,3,3,0
99901.0,1,2,2,2,2,1
99905.0,0,0,3,4,1,3
99909.0,0,0,3,4,1,3
99924.0,1,1,0,1,5,4
99927.0,1,2,2,2,2,1
99928.0,0,0,1,3,3,0
99935.0,1,1,0,0,4,5
99937.0,1,1,0,0,4,5
99942.0,1,1,0,0,4,2
99959.0,0,2,1,3,3,0
99961.0,1,1,0,1,4,2
99984.0,1,2,2,0,4,2
99985.0,1,1,0,1,5,5
99989.0,1,1,2,0,4,5
100001.0,0,0,3,3,3,0
100008.0,1,2,2,0,4,2
100013.0,1,2,2,0,4,2
100015.0,0,0,3,4,1,3
100025.0,1,2,2,2,2,1
100026.0,0,0,1,3,3,0
100029.0,1,1,0,1,5,4
100032.0,1,1,0,1,5,4
100039.0,0,0,3,3,3,3
100044.0,0,0,3,4,1,3
100047.0,0,0,3,3,1,3
100061.0,1,1,0,1,5,4
100068.0,1,1,0,1,5,5
100095.0,1,2,2,2,2,1
100099.0,0,0,1,3,3,0
100102.0,0,2,1,3,3,0
100110.0,0,0,3,4,1,3
100111.0,0,0,3,4,1,3
100112.0,1,1,0,1,5,4
100115.0,1,1,0,0,4,2
100119.0,1,2,2,2,2,1
100165.0,0,0,3,3,4,2
100171.0,1,2,2,0,4,2
100175.0,0,0,3,4,1,3
100181.0,1,2,2,2,2,1
100190.0,1,2,2,2,2,1
100192.0,0,0,1,3,3,0
100200.0,1,2,2,2,2,1
100202.0,1,1,2,0,4,5
100221.0,1,1,0,1,5,4
100248.0,0,0,3,4,1,3
100265.0,1,1,0,1,5,4
100286.0,1,2,2,2,4,2
100295.0,0,0,3,4,1,3
100319.0,1,2,1,2,0,6
100324.0,1,2,0,0,4,2
100326.0,1,2,2,2,2,1
100338.0,0,0,3,3,3,0
100348.0,1,2,2,2,2,5
100377.0,0,0,1,3,3,0
100382.0,1,2,1,2,0,6
100389.0,0,2,1,3,0,6
100407.0,0,0,3,4,1,3
100447.0,0,0,1,4,2,0
100451.0,1,1,0,0,4,2
100463.0,1,1,0,1,5,4
100464.0,0,0,3,4,1,0
100483.0,1,2,1,0,4,2
100500.0,1,2,2,2,2,1
100514.0,0,0,1,3,3,0
100521.0,0,0,3,4,1,3
100526.0,1,2,2,0,4,2
100532.0,1,2,2,2,2,1
100557.0,0,0,3,4,1,3
100568.0,0,2,1,2,0,6
100571.0,0,0,3,4,1,3
100623.0,1,1,0,0,4,5
100627.0,1,1,0,1,5,5
100641.0,1,1,0,1,5,4
100644.0,1,1,0,1,5,4
100647.0,0,0,3,4,1,3
100670.0,0,0,1,3,3,0
100677.0,1,1,0,0,4,2
100689.0,0,0,1,3,3,0
100698.0,1,1,0,1,5,4
100705.0,1,2,2,0,4,2
100713.0,1,1,0,1,5,4
100714.0,1,1,0,0,4,5
100715.0,1,2,2,0,4,2
100720.0,0,0,3,4,1,3
100727.0,1,1,3,4,1,5
100780.0,1,2,2,0,4,2
100801.0,0,2,1,2,2,1
100860.0,1,2,2,2,2,1
100866.0,0,0,3,3,3,0
100874.0,0,0,3,4,1,3
100881.0,0,0,3,3,3,0
100892.0,0,0,3,4,1,3
100895.0,1,1,0,0,4,2
100896.0,1,2,2,2,2,1
100898.0,1,2,2,0,4,2
100911.0,0,0,3,4,3,0
100928.0,0,0,3,4,1,4
100929.0,1,2,2,2,2,1
100934.0,1,2,2,2,2,1
100935.0,0,0,3,4,1,3
100952.0,0,0,3,4,1,3
100965.0,1,1,0,1,5,4
100966.0,1,1,0,1,5,4
100973.0,0,2,1,2,2,0
100986.0,1,1,0,0,4,2
101011.0,0,0,1,3,3,0
101014.0,1,1,0,1,5,4
101023.0,0,0,3,4,1,3
101024.0,0,0,3,4,1,3
101028.0,1,1,0,0,4,2
101034.0,1,2,2,2,2,5
101037.0,1,2,2,2,2,1
101064.0,0,0,1,3,3,0
101069.0,0,0,3,3,3,0
101070.0,1,2,2,0,4,5
101076.0,1,1,0,1,5,4
101079.0,1,1,0,1,4,2
101096.0,1,2,2,0,4,2
101097.0,1,2,2,0,4,2
101106.0,1,2,2,2,4,2
101107.0,1,1,0,0,4,5
101108.0,1,1,0,1,5,4
101115.0,1,2,2,2,2,1
101123.0,1,1,0,0,4,2
101132.0,0,0,3,4,1,3
101138.0,1,2,2,2,2,1
101160.0,1,1,0,0,4,2
101166.0,1,1,0,1,5,4
101169.0,1,1,0,0,4,2
101174.0,0,0,3,4,1,3
101175.0,0,0,3,3,3,0
101181.0,1,1,0,1,5,5
101182.0,0,0,1,3,0,6
101186.0,0,0,3,4,1,3
101191.0,1,2,2,0,4,5
101206.0,0,0,3,3,1,3
101216.0,1,2,2,2,2,1
101226.0,0,2,1,3,3,0
101229.0,1,2,2,0,4,2
101230.0,1,1,2,0,4,5
101238.0,0,0,3,4,1,3
101246.0,0,2,1,2,0,6
101252.0,1,2,2,2,2,1
101254.0,1,1,0,1,5,4
