SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster,K8_cluster,K9_cluster,K10_cluster
96222.0,1,2,1,4,1,4,1,1,7
96224.0,1,2,1,4,1,4,5,1,7
96226.0,1,0,3,1,3,6,7,6,0
96237.0,1,2,1,4,1,4,5,5,3
96240.0,0,0,0,2,0,1,6,0,6
96249.0,0,2,2,0,5,2,2,4,1
96250.0,0,1,0,2,2,5,0,2,9
96253.0,0,2,2,3,0,0,6,8,4
96257.0,0,1,2,3,0,1,6,0,6
96270.0,1,0,3,1,3,6,4,7,5
96276.0,0,1,0,0,5,2,2,4,1
96279.0,0,2,2,0,5,2,2,4,1
96283.0,0,0,0,2,2,5,4,7,9
96297.0,1,2,1,4,1,0,1,8,4
96308.0,0,1,0,2,2,5,0,2,9
96322.0,1,2,1,4,1,4,1,1,7
96325.0,1,2,2,3,0,0,1,8,4
96329.0,1,2,1,4,1,4,1,1,7
96348.0,1,0,3,1,3,6,7,6,0
96368.0,0,1,2,3,4,3,3,3,2
96377.0,1,2,1,4,1,4,5,1,7
96392.0,0,1,2,3,0,1,6,0,6
96403.0,1,0,3,1,3,4,5,5,5
96415.0,1,0,3,1,3,6,7,6,5
96417.0,1,2,1,4,1,0,1,8,4
96432.0,1,2,1,4,0,1,6,0,6
96433.0,0,1,2,3,4,3,3,3,2
96443.0,1,2,1,4,1,4,5,5,5
96450.0,0,1,0,0,5,1,6,0,6
96452.0,1,0,3,1,3,6,7,6,0
96479.0,1,0,3,1,3,6,7,6,0
96489.0,0,1,2,3,0,1,6,0,6
96501.0,0,1,0,0,5,2,2,4,1
96519.0,1,2,1,4,1,4,5,1,7
96523.0,0,1,2,3,4,3,3,3,2
96548.0,1,2,1,4,0,0,1,8,4
96552.0,1,0,3,1,3,6,7,6,0
96553.0,0,0,3,2,2,5,4,7,9
96558.0,0,1,0,2,2,5,0,2,8
96566.0,0,0,3,1,3,6,4,7,9
96574.0,1,2,1,4,1,4,1,1,7
96576.0,0,1,0,2,2,5,0,2,8
96582.0,0,0,3,2,2,5,4,7,9
96590.0,0,1,2,3,4,3,3,3,2
96593.0,0,0,3,1,3,6,7,6,0
96600.0,0,2,2,3,4,3,3,3,4
96609.0,1,2,2,4,0,0,1,8,4
96624.0,0,0,0,2,2,5,4,7,9
96628.0,0,1,0,2,2,5,0,2,8
96630.0,0,1,0,2,2,5,0,2,8
96634.0,1,0,3,1,3,6,4,7,0
96638.0,0,0,3,2,2,5,7,6,0
96651.0,0,1,2,3,4,3,3,3,2
96659.0,1,0,1,1,3,4,5,1,7
96663.0,1,2,1,4,1,0,7,1,7
96672.0,1,0,3,1,3,6,4,7,5
