SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster,K8_cluster,K9_cluster,K10_cluster
96124.0,0,0,3,1,5,3,6,2,3
96133.0,0,1,2,3,1,6,1,0,2
96140.0,0,2,1,4,4,2,4,5,8
96150.0,1,2,0,2,2,3,3,3,4
96160.0,1,2,1,4,4,1,7,5,1
96186.0,0,1,3,3,3,2,4,0,8
96196.0,0,1,3,1,3,4,2,1,6
96198.0,1,0,0,2,2,5,0,7,0
96205.0,0,2,1,3,1,2,4,0,8
96219.0,0,1,3,1,3,4,2,1,6
96222.0,1,0,0,2,2,5,0,7,0
96224.0,1,0,0,2,2,5,3,3,4
96226.0,1,2,1,4,4,2,4,5,8
96237.0,1,0,0,2,2,3,3,3,4
96240.0,1,2,0,3,1,3,6,4,2
96249.0,0,0,0,0,0,0,5,6,9
96250.0,0,1,1,3,1,2,4,0,8
96253.0,0,0,3,1,5,4,6,1,6
96257.0,1,0,0,2,5,3,6,2,3
96270.0,1,2,1,4,4,1,7,5,1
96276.0,0,1,2,0,0,0,5,6,9
96279.0,0,0,3,0,0,0,5,6,9
96283.0,0,2,2,3,1,6,1,4,2
96297.0,1,0,0,2,5,5,0,7,0
96308.0,0,1,2,3,1,6,1,4,2
96322.0,1,0,0,2,2,5,3,7,4
96325.0,1,0,3,1,5,5,0,7,0
96329.0,1,0,0,2,2,5,3,7,4
96348.0,1,2,1,4,4,1,7,5,1
96368.0,0,1,3,1,3,4,2,1,6
96377.0,1,0,0,2,2,5,3,7,4
96392.0,0,0,3,1,5,3,6,2,3
96403.0,1,2,0,4,4,1,7,3,4
96415.0,1,2,1,4,4,1,7,5,1
96417.0,1,0,0,2,2,5,0,7,0
96432.0,1,0,0,2,2,5,3,2,4
96433.0,0,1,3,1,5,4,2,1,6
96443.0,1,2,0,2,2,1,3,3,4
96450.0,0,1,2,1,3,6,6,8,5
96452.0,1,2,1,4,4,1,7,5,1
96479.0,1,2,1,4,4,2,7,5,1
96489.0,0,1,3,1,5,3,6,2,3
96501.0,0,1,2,0,0,0,5,6,9
96519.0,1,0,0,2,2,5,3,3,4
96523.0,0,1,3,1,5,4,2,1,6
96548.0,1,0,0,2,5,5,0,7,0
96552.0,1,2,1,4,4,2,4,0,8
96553.0,1,2,1,3,1,1,1,4,2
96558.0,0,1,2,3,1,6,1,0,2
96566.0,1,2,1,4,4,1,7,5,1
96574.0,1,0,0,2,2,5,3,7,0
96576.0,0,1,2,3,1,6,1,0,8
96582.0,0,2,1,4,4,2,7,5,8
96590.0,0,1,3,1,5,4,2,1,6
96593.0,1,2,1,4,4,2,4,5,8
96600.0,0,1,3,1,3,4,2,1,6
96609.0,1,0,3,2,5,5,0,7,0
96624.0,0,2,1,3,1,6,1,4,2
96628.0,0,1,1,3,1,2,4,0,8
96630.0,0,1,2,3,1,6,1,0,2
96634.0,1,2,1,4,4,1,7,5,1
96638.0,0,2,1,3,1,6,1,4,2
96651.0,0,1,3,1,3,4,2,1,6
96659.0,1,2,0,2,2,5,3,3,1
96663.0,1,0,0,2,2,5,0,7,0
96672.0,1,2,1,4,4,1,7,4,1
96681.0,0,1,3,1,5,4,6,2,3
96705.0,1,2,1,4,4,1,7,5,1
96708.0,1,0,0,2,2,5,3,3,4
96725.0,1,0,3,1,5,5,0,7,0
96748.0,0,0,3,1,3,4,2,1,6
96750.0,0,0,3,1,5,3,6,2,3
96756.0,0,0,3,1,5,4,2,1,6
96766.0,0,1,3,1,5,4,2,1,6
96793.0,0,2,1,3,1,6,4,0,8
96810.0,1,0,0,2,5,5,0,7,0
96826.0,1,2,0,4,4,1,7,3,4
96844.0,0,2,2,3,1,6,1,4,2
96848.0,0,1,3,1,3,4,2,8,5
96852.0,0,1,3,3,1,2,4,0,8
96860.0,1,0,3,2,5,5,0,7,0
96865.0,1,0,0,2,2,5,3,3,4
96885.0,1,2,1,4,4,1,7,4,1
96890.0,1,2,1,4,4,1,7,5,1
96898.0,0,2,1,3,1,2,4,0,8
96899.0,1,2,1,4,4,1,7,5,1
96901.0,1,0,0,2,2,5,0,7,0
96907.0,0,1,3,1,3,4,2,1,6
96922.0,0,2,1,3,1,2,4,0,8
96925.0,0,1,2,3,1,6,1,4,2
96926.0,1,2,1,4,4,1,7,5,1
96939.0,1,0,3,2,5,5,0,7,0
96951.0,0,1,2,3,1,6,6,2,3
96954.0,0,2,2,0,0,0,5,6,9
96970.0,1,0,0,2,2,5,0,7,0
96992.0,1,2,1,4,4,2,7,5,1
97000.0,0,2,2,3,1,6,1,4,2
97003.0,1,2,1,4,4,1,7,3,1
97011.0,1,0,0,2,2,5,0,7,4
97032.0,0,2,1,3,1,2,4,0,8
97041.0,1,0,0,2,5,5,0,7,0
97042.0,1,2,0,4,4,1,7,3,4
97044.0,1,0,0,2,2,5,3,3,4
97048.0,1,0,3,2,5,5,0,7,0
97060.0,1,2,1,4,4,1,7,5,1
97064.0,1,2,1,4,4,2,4,5,8
97065.0,0,1,2,3,1,6,1,0,8
97067.0,1,2,1,3,1,3,4,2,7
97077.0,0,1,3,1,3,4,2,1,6
97093.0,0,0,3,1,5,4,2,1,6
97094.0,1,0,0,2,2,5,3,3,4
97095.0,1,0,3,1,5,3,6,2,3
97108.0,0,2,1,3,1,6,1,4,2
97131.0,1,0,3,1,5,3,6,2,3
97137.0,1,0,0,2,2,3,3,3,7
97138.0,1,0,0,2,2,5,3,3,4
97147.0,1,0,0,2,2,5,0,7,0
97153.0,0,1,2,3,1,6,1,0,2
97166.0,1,0,0,2,2,5,0,7,0
97174.0,1,0,0,2,2,5,0,7,0
97177.0,0,1,2,3,1,6,1,4,2
97186.0,0,1,2,0,0,6,1,4,2
97223.0,1,2,1,4,4,2,7,5,1
97228.0,0,1,3,1,3,4,2,1,6
97231.0,0,1,2,3,3,6,1,8,5
97234.0,0,1,3,1,5,3,6,2,3
97236.0,1,2,1,4,4,2,7,5,1
97247.0,1,2,1,4,4,2,4,5,8
97260.0,1,0,0,2,5,3,6,2,3
97266.0,1,2,1,4,4,2,7,5,1
97270.0,1,0,0,2,5,3,6,2,3
97275.0,1,0,0,2,2,5,0,7,0
97280.0,0,1,2,3,1,6,1,4,2
97293.0,1,0,0,2,5,5,0,7,0
97299.0,0,2,1,3,1,2,4,0,8
97304.0,0,1,3,1,5,4,2,1,6
97338.0,0,1,3,1,3,4,2,1,6
97349.0,1,0,3,1,5,4,6,2,3
97379.0,1,2,1,4,4,1,7,5,1
97383.0,1,2,1,4,4,2,7,5,1
97410.0,1,0,0,2,2,5,3,3,4
97415.0,1,2,1,4,4,2,4,5,1
97418.0,1,0,3,1,5,3,6,2,3
97436.0,1,2,1,4,4,2,4,5,8
97446.0,0,2,1,3,1,2,4,0,8
97452.0,1,0,3,2,5,5,0,7,0
97456.0,1,2,1,4,4,2,7,5,1
97465.0,1,2,1,4,4,2,4,5,8
97468.0,1,2,1,4,4,1,7,5,1
97485.0,1,0,0,2,2,1,3,3,4
97487.0,1,0,0,2,5,3,0,7,0
97492.0,1,2,1,4,4,1,7,5,1
97497.0,1,2,1,4,4,2,7,5,1
97501.0,0,1,3,1,1,6,6,4,2
97533.0,1,2,1,4,4,1,7,5,1
97550.0,1,2,0,4,4,1,7,3,4
97560.0,1,2,1,4,4,2,4,5,8
97572.0,0,2,1,3,4,2,4,0,8
97577.0,0,2,1,3,1,6,1,4,2
97578.0,1,0,0,2,2,5,3,3,4
97580.0,1,2,1,4,4,1,7,3,4
97585.0,1,2,1,4,4,1,7,4,1
97595.0,1,2,1,4,4,1,7,3,4
97598.0,1,0,3,1,5,4,0,7,0
